id;comments
1;emp482
1;:red_heart::red_heart:
1;emp482
1;We have sent you legal notice check your DM
2;:red_heart:️
2;Emp482
2;Men also do it.
2;Check your DM legal trouble is waiting for your team
2;@palak_hair_makeup_artist
2;@kankshamutreja
2;@reethu._.joy
2;@samyurkive @blues_far :crying_face::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
3;Been vv
4;Emp482
4;EMP482
4;EMP 482
4;Check your inbox, arrange a call back ASAP, else I will have to post about you guys and your pathetic service all over social media. It’s been more than a month now.
